Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
466		,0.232500,-0.005305,0.200804,0.000036
467		,0.233000,-0.006916,0.201834,-0.000060
468		,0.233500,-0.007077,0.203042,0.000036
469		,0.234000,-0.007560,0.204442,0.000004
470		,0.234500,-0.007238,0.205473,0.000165
471		,0.235000,-0.007882,0.206616,-0.000189
472		,0.235500,-0.007560,0.207662,0.000004
473		,0.236000,-0.008043,0.208467,-0.000028
474		,0.236500,-0.007399,0.209063,-0.000157
475		,0.237000,-0.007238,0.209289,-0.000092
476		,0.237500,-0.006916,0.209305,-0.000060
477		,0.238000,-0.005788,0.208580,-0.000060
478		,0.238500,-0.005144,0.207179,-0.000092
479		,0.239000,-0.003212,0.205650,-0.000157
480		,0.239500,-0.002568,0.203509,0.000069
481		,0.240000,-0.000635,0.201062,0.000069
482		,0.240500,-0.000796,0.198759,0.000036
483		,0.241000,-0.003051,0.197858,-0.000092
484		,0.241500,-0.003695,0.197858,-0.000221
485		,0.242000,-0.004983,0.198373,-0.000157
486		,0.242500,-0.005788,0.199371,-0.000157
487		,0.243000,-0.007077,0.200965,-0.000092
488		,0.243500,-0.007721,0.202639,-0.000125
489		,0.244000,-0.008848,0.204088,-0.000414
490		,0.244500,-0.009009,0.205714,-0.000286
491		,0.245000,-0.009331,0.207357,-0.000253
492		,0.245500,-0.008526,0.207582,-0.000092
493		,0.246000,-0.009009,0.208838,-0.000125
494		,0.246500,-0.008204,0.209433,-0.000704
495		,0.247000,-0.007721,0.210255,-0.000253
496		,0.247500,-0.004983,0.209433,-0.000221
497		,0.248000,-0.004661,0.208693,-0.000221
498		,0.248500,-0.003373,0.207389,-0.000221
499		,0.249000,-0.002407,0.205730,-0.000157
500		,0.249500,-0.001440,0.203927,-0.000286
501		,0.250000,-0.000313,0.201287,-0.000189
502		,0.250500,-0.000957,0.199741,-0.000221
503		,0.251000,-0.001923,0.199113,-0.000253
504		,0.251500,-0.003212,0.199291,-0.000157
505		,0.252000,-0.004661,0.199419,-0.000253
506		,0.252500,-0.005305,0.200321,-0.000028
507		,0.253000,-0.006593,0.201802,0.000004
508		,0.253500,-0.007077,0.203074,0.000069
509		,0.254000,-0.007721,0.204475,0.000004
510		,0.254500,-0.007721,0.205360,0.000036
511		,0.255000,-0.008204,0.206600,-0.000125
512		,0.255500,-0.008043,0.208162,-0.000092
513		,0.256000,-0.007399,0.208258,-0.000092
514		,0.256500,-0.007721,0.209272,-0.000189
515		,0.257000,-0.007238,0.209611,0.000101
516		,0.257500,-0.006271,0.209482,-0.000060
517		,0.258000,-0.005466,0.208532,-0.000028
518		,0.258500,-0.004661,0.207196,0.000004
519		,0.259000,-0.003695,0.205698,0.000101
520		,0.259500,-0.002084,0.203396,-0.000060
521		,0.260000,-0.000635,0.201287,0.000069
522		,0.260500,-0.001279,0.198518,0.000004
523		,0.261000,-0.002729,0.197713,-0.000157
524		,0.261500,-0.003534,0.197777,-0.000157
525		,0.262000,-0.004500,0.198550,-0.000253
526		,0.262500,-0.005788,0.199387,-0.000125
527		,0.263000,-0.007238,0.200772,-0.000092
528		,0.263500,-0.007882,0.202768,-0.000189
529		,0.264000,-0.008365,0.204378,-0.000092
530		,0.264500,-0.008687,0.205586,-0.000157
531		,0.265000,-0.008848,0.206761,-0.000189
532		,0.265500,-0.009009,0.207791,-0.000253
