Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
445		,0.222000,2.953450,-0.001026,0.342532
446		,0.222500,3.200650,-0.000833,0.342532
447		,0.223000,3.411939,-0.000736,0.341727
448		,0.223500,3.506472,-0.000704,0.342049
449		,0.224000,3.434485,-0.000543,0.341727
450		,0.224500,3.225290,-0.000350,0.341405
451		,0.225000,2.958603,-0.000318,0.341566
452		,0.225500,2.673882,-0.000028,0.342049
453		,0.226000,2.366133,-0.000028,0.342693
454		,0.226500,1.988495,0.000165,0.342371
455		,0.227000,1.485411,-0.000060,0.341888
456		,0.227500,0.918076,0.000230,0.341727
457		,0.228000,0.366365,0.000455,0.340600
458		,0.228500,-0.186631,0.000294,0.339955
459		,0.229000,-0.704521,0.000745,0.339472
460		,0.229500,-1.209044,0.000680,0.338989
461		,0.230000,-1.660908,0.000584,0.338989
462		,0.230500,-2.115350,0.000680,0.339150
463		,0.231000,-2.431624,0.000712,0.338989
464		,0.231500,-2.705547,0.000197,0.338989
465		,0.232000,-2.972545,0.000551,0.339472
466		,0.232500,-3.208303,0.000358,0.339955
467		,0.233000,-3.420389,0.000294,0.340117
468		,0.233500,-3.474659,0.000423,0.341244
469		,0.234000,-3.390597,0.000230,0.341566
470		,0.234500,-3.161280,0.000230,0.341405
471		,0.235000,-2.899274,-0.000157,0.342210
472		,0.235500,-2.612951,-0.000286,0.342210
473		,0.236000,-2.291523,-0.000511,0.341888
474		,0.236500,-1.912607,-0.000479,0.341566
475		,0.237000,-1.396489,-0.000736,0.341566
476		,0.237500,-0.843977,-0.000607,0.341888
477		,0.238000,-0.300161,-0.000865,0.342371
478		,0.238500,0.247521,-0.000704,0.342854
479		,0.239000,0.746572,-0.001026,0.343337
480		,0.239500,1.257542,-0.000865,0.343981
481		,0.240000,1.682360,-0.000897,0.345592
482		,0.240500,2.119259,-0.000897,0.346236
483		,0.241000,2.420565,-0.000929,0.346719
484		,0.241500,2.688214,-0.000801,0.347363
485		,0.242000,2.953772,-0.000768,0.347363
486		,0.242500,3.177138,-0.000736,0.347202
487		,0.243000,3.371517,-0.000672,0.347363
488		,0.243500,3.388588,-0.000607,0.347363
489		,0.244000,3.277951,-0.000286,0.346558
490		,0.244500,3.047982,-0.000253,0.346397
491		,0.245000,2.781779,-0.000253,0.346236
492		,0.245500,2.494160,-0.000125,0.346236
493		,0.246000,2.167893,0.000197,0.346719
494		,0.246500,1.776407,0.000004,0.346880
495		,0.247000,1.269942,-0.000060,0.347524
496		,0.247500,0.720484,0.000423,0.347846
497		,0.248000,0.193735,0.000294,0.348007
498		,0.248500,-0.360871,0.000519,0.348329
499		,0.249000,-0.846554,0.000294,0.348651
500		,0.249500,-1.346568,0.000487,0.348973
501		,0.250000,-1.752376,0.000487,0.349296
502		,0.250500,-2.149168,0.000551,0.349618
503		,0.251000,-2.447889,0.000648,0.349779
504		,0.251500,-2.708606,0.000551,0.350423
505		,0.252000,-2.968036,0.000455,0.350423
506		,0.252500,-3.186885,0.000455,0.350101
507		,0.253000,-3.349533,0.000262,0.350906
508		,0.253500,-3.350499,0.000326,0.351228
509		,0.254000,-3.211685,0.000551,0.351711
510		,0.254500,-2.992353,0.000165,0.352355
511		,0.255000,-2.714726,0.000101,0.352999
512		,0.255500,-2.423089,-0.000446,0.353644
513		,0.256000,-2.092000,-0.000414,0.353160
514		,0.256500,-1.685225,-0.000382,0.352677
515		,0.257000,-1.196000,-0.000607,0.351711
516		,0.257500,-0.650252,-0.000736,0.351228
517		,0.258000,-0.136549,-0.000736,0.350906
518		,0.258500,0.409684,-0.000801,0.350584
519		,0.259000,0.901328,-0.000575,0.349779
520		,0.259500,1.374133,-0.000962,0.349135
521		,0.260000,1.767067,-0.001026,0.349135
522		,0.260500,2.129082,-0.000929,0.348973
523		,0.261000,2.431354,-0.000897,0.348973
524		,0.261500,2.682900,-0.000736,0.349457
525		,0.262000,2.933481,-0.000736,0.349940
526		,0.262500,3.147023,-0.000672,0.350101
527		,0.263000,3.267966,-0.000640,0.351067
528		,0.263500,3.251057,-0.000511,0.351389
529		,0.264000,3.097261,-0.000350,0.350906
530		,0.264500,2.880820,-0.000092,0.350584
531		,0.265000,2.602541,-0.000125,0.350262
532		,0.265500,2.301556,-0.000350,0.349457
533		,0.266000,1.966594,0.000069,0.349296
534		,0.266500,1.548376,0.000197,0.348973
535		,0.267000,1.074121,0.000294,0.348651
536		,0.267500,0.537708,0.000519,0.347846
537		,0.268000,0.022554,0.000358,0.347685
538		,0.268500,-0.507736,-0.000060,0.347202
539		,0.269000,-0.992129,0.000455,0.347524
540		,0.269500,-1.445121,0.000133,0.348007
541		,0.270000,-1.817435,0.000294,0.348812
542		,0.270500,-2.157058,0.000616,0.348812
543		,0.271000,-2.452237,0.000487,0.349135
544		,0.271500,-2.706030,0.000551,0.348812
545		,0.272000,-2.945169,0.000423,0.348490
546		,0.272500,-3.148881,0.000358,0.347846
547		,0.273000,-3.234069,0.000487,0.347363
548		,0.273500,-3.190589,0.000262,0.347041
549		,0.274000,-3.039053,0.000230,0.346397
550		,0.274500,-2.815696,0.000101,0.346236
551		,0.275000,-2.535976,-0.000189,0.346075
552		,0.275500,-2.225982,-0.000382,0.345431
553		,0.276000,-1.884103,-0.000511,0.344787
554		,0.276500,-1.469276,-0.000607,0.344787
555		,0.277000,-1.000020,-0.000511,0.344142
556		,0.277500,-0.477622,-0.000543,0.344142
557		,0.278000,0.037530,-0.001155,0.343820
558		,0.278500,0.558481,-0.001026,0.343498
559		,0.279000,1.035472,-0.001187,0.343337
560		,0.279500,1.463832,-0.001155,0.343015
561		,0.280000,1.802495,-0.000962,0.343015
562		,0.280500,2.141804,-0.000962,0.342210
563		,0.281000,2.428295,-0.000833,0.342693
564		,0.281500,2.675814,-0.000833,0.342532
565		,0.282000,2.906265,-0.000736,0.342210
566		,0.282500,3.080835,-0.000607,0.342693
567		,0.283000,3.145574,-0.000607,0.342532
568		,0.283500,3.073427,-0.000511,0.342532
569		,0.284000,2.928166,-0.000382,0.342532
570		,0.284500,2.697072,-0.000221,0.343176
571		,0.285000,2.419115,-0.000157,0.342854
572		,0.285500,2.102189,0.000133,0.342371
573		,0.286000,1.744360,0.000069,0.342532
574		,0.286500,1.346435,0.000197,0.341888
